date,volumeto,close,bitcoin,num_tweets
2020-01-28,345265419.21,9286.18,9.72,20422.0
2020-01-29,430815723.66,9501.38,10.2,22062.0
2020-01-30,292627757.98,9342.23,10.2,18452.0
2020-01-31,138614091.6,9384.45,9.0,17685.0
2020-02-01,225322638.39,9334.25,8.260000000000002,15818.0
2020-02-02,312315107.48,9288.96,8.260000000000002,75543.0
2020-02-03,244997961.95,9171.98,8.680000000000001,32917.0
2020-02-04,448381299.88,9611.42,9.24,28537.0
2020-02-05,410313693.85,9755.84,10.500000000000002,34975.0
2020-02-06,249852208.28,9808.36,11.62,30260.0
2020-02-07,244352034.45,9898.25,9.8,25577.0
2020-02-08,340301629.71,10157.78,9.1,22495.0
2020-02-09,406256357.82,9858.03,13.86,38674.0
2020-02-10,495614708.0,10269.43,12.18,27170.0
2020-02-11,449510878.91,10347.93,12.6,28117.0
2020-02-12,507955951.95,10233.32,14.000000000000002,28341.0
2020-02-13,297409586.88,10360.37,12.6,26869.0
2020-02-14,300819428.52,9905.43,10.080000000000002,25754.0
2020-02-15,272176494.52,9925.51,9.66,23918.0
2020-02-16,359702988.14,9702.48,9.24,23996.0
2020-02-17,382869718.91,10182.6,10.920000000000002,25279.0
2020-02-18,473100344.44,9602.43,10.64,29623.0
2020-02-19,352949373.64,9608.8,11.340000000000002,31627.0
2020-02-20,293546157.49,9697.86,10.920000000000002,26789.0
2020-02-21,118171544.81,9671.46,9.52,23685.0
2020-02-22,228093371.59,9977.39,7.98,24088.0
2020-02-23,331102536.15,9664.21,8.260000000000002,25803.0
2020-02-24,329372824.71,9316.18,10.22,28829.0
2020-02-25,588359496.49,8793.5,9.94,27251.0
2020-02-26,413657559.37,8821.5,12.32,27388.0
2020-02-27,360795192.37,8719.29,11.62,25882.0
2020-02-28,146455562.43,8545.45,12.18,25289.0
2020-02-29,219324311.08,8549.38,8.96,22884.0
2020-03-01,290280969.41,8919.74,4.75,22847.0
2020-03-02,252211805.89,8765.68,5.51,25876.0
2020-03-03,194233894.05,8773.78,5.13,25782.0
2020-03-04,305196274.33,9074.82,5.32,27221.0
2020-03-05,192168163.64,9160.39,5.7,26232.0
2020-03-06,187063951.77,8903.72,5.51,22285.0
2020-03-07,533371350.28,8057.67,4.37,19205.0
2020-03-08,682781069.24,7944.4,4.94,19627.0
2020-03-09,427332546.47,7894.66,9.88,31167.0
2020-03-10,372704355.27,7945.36,7.6,24544.0
2020-03-11,1769476928.68,4916.78,6.46,23550.0
2020-03-12,1663092005.9,5632.58,14.06,44735.0
2020-03-13,474539626.45,5181.77,19.0,43020.0
2020-03-14,568696762.62,5357.02,12.35,22922.0
2020-03-15,996661883.31,5045.0,10.64,22102.0
2020-03-16,618671971.75,5337.66,13.68,27432.0
2020-03-17,576456805.62,5413.06,11.4,26159.0
2020-03-18,868668216.67,6184.88,10.64,26644.0
2020-03-19,947038097.64,6206.44,11.4,29033.0
2020-03-20,415771088.67,6195.43,11.21,28150.0
2020-03-21,457211401.95,5828.15,9.69,25403.0
2020-03-22,667919370.22,6503.53,8.36,27844.0
2020-03-23,700444488.16,6767.18,9.31,28657.0
2020-03-24,566264216.07,6694.21,9.31,31076.0
2020-03-25,302121295.09,6757.95,8.17,26878.0
2020-03-26,381303011.52,6382.8,7.6,24772.0
2020-03-27,378476570.98,6252.49,7.22,24128.0
2020-03-28,286789900.17,5882.2,7.41,20983.0
2020-03-29,445848282.11,6403.31,7.03,22187.0
2020-03-30,233613490.19,6423.61,7.22,24425.0
2020-03-31,377164250.74,6663.63,6.65,24944.0
2020-04-01,635319847.54,6804.42,8.16,27700.0
2020-04-02,379639119.54,6743.68,9.92,29947.0
2020-04-03,230044243.33,6875.95,8.96,33185.0
2020-04-04,182019861.58,6781.64,8.16,28502.0
2020-04-05,560075869.57,7347.22,7.36,25533.0
2020-04-06,516422836.71,7201.57,9.92,32118.0
2020-04-07,445330043.76,7367.37,10.08,32171.0
2020-04-08,321287689.9,7294.55,8.96,30033.0
